,First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt
306,Anton,Berzin,The Body Snatcher,"6' 2""",205 lbs.,--,Orthodox,5,1,0,
307,Scott,Bessac,,"6' 4""",245 lbs.,--,,4,6,0,
308,Matt,Bessette,The Mangler,"5' 10""",145 lbs.,"70.0""",Orthodox,22,9,0,
309,Khadzhi,Bestaev,Best,"6' 6""",185 lbs.,"76.0""",,10,4,0,
310,Fernando,Bettega,,--,170 lbs.,--,,7,5,0,
311,Arjan,Bhullar,,"6' 1""",245 lbs.,"75.0""",Orthodox,9,1,0,
312,KB,Bhullar,The Bengal,"6' 4""",185 lbs.,"78.0""",Switch,8,2,0,
313,Bibulatov,Magomed,Chaborz,"5' 5""",125 lbs.,"65.0""",Orthodox,14,2,0,
314,David,Bielkheden,,"5' 10""",155 lbs.,"71.0""",Orthodox,24,12,0,
315,Blake,Bilder,El Animal,"5' 8""",145 lbs.,"68.0""",Switch,7,0,1,
316,Jonas,Bilharinho,,"5' 11""",145 lbs.,"75.0""",Switch,9,1,1,
317,Jeremiah,Billington,,"5' 9""",205 lbs.,--,Orthodox,11,2,0,
318,Scott,Bills,,"5' 10""",170 lbs.,--,,7,9,1,
319,Anthony,Birchak,El Toro,"5' 8""",135 lbs.,"69.0""",Orthodox,16,8,0,
320,Chris,Birchler,The Big Buck,"6' 3""",205 lbs.,--,Switch,7,4,0,
321,Michael,Bisping,The Count,"6' 1""",185 lbs.,"75.0""",Orthodox,30,9,0,
322,Amaury,Bitetti,,"5' 9""",185 lbs.,--,Orthodox,5,2,0,
323,Caio,Bittencourt,Leao,"6' 0""",185 lbs.,"75.0""",Orthodox,14,7,0,
324,Simon,Biyong,,--,205 lbs.,--,,7,1,0,
325,Jan,Blachowicz,,"6' 2""",205 lbs.,"78.0""",Orthodox,29,9,0,
326,Jason,Black,The Black Legion,"5' 8""",155 lbs.,--,Orthodox,23,4,1,
327,Brad,Blackburn,Bad Brad,"5' 10""",170 lbs.,"73.0""",Orthodox,18,13,1,
328,Jason,Blackford,,--,--,--,,3,3,0,
329,Tom,Blackledge,,--,205 lbs.,--,Orthodox,10,7,0,
330,Sherrard,Blackledge,The Thriller,"5' 11""",155 lbs.,"75.0""",Orthodox,5,1,0,
331,Da'Mon,Blackshear,Da Monster,"5' 10""",135 lbs.,"72.0""",Switch,12,4,1,
332,Erin,Blanchfield,Cold Blooded,"5' 4""",125 lbs.,"66.0""",Orthodox,9,1,0,
333,Maximo,Blanco,Maxi,"5' 8""",145 lbs.,"71.0""",Orthodox,12,8,1,
334,David,Blanco,,"5' 7""",145 lbs.,--,,2,0,0,
335,Curtis,Blaydes,Razor,"6' 4""",265 lbs.,"80.0""",Orthodox,17,3,0,
336,Tereza,Bleda,,"5' 9""",125 lbs.,"71.0""",Orthodox,6,0,0,
337,Arlene,Blencowe,Angerfist,"5' 5""",145 lbs.,--,,9,6,0,
338,Byron,Bloodworth,,"5' 8""",135 lbs.,--,Orthodox,6,3,0,
339,Dashawn,Boatwright,"Buck, the 400-pound Silverback","6' 0""",205 lbs.,--,Orthodox,3,1,0,
340,Dan,Bobish,,"6' 2""",345 lbs.,--,Southpaw,17,9,0,
341,Mark,Bocek,,"5' 8""",155 lbs.,"75.0""",Orthodox,12,5,0,
342,Kyle,Bochniak,Killer B,"5' 7""",145 lbs.,"70.0""",Orthodox,8,5,0,
343,James,Bochnovic,,"6' 4""",205 lbs.,"81.0""",Orthodox,8,3,0,
344,Jeremy,Boczulak,,--,--,--,,0,2,0,
345,Tim,Boetsch,The Barbarian,"6' 0""",185 lbs.,"74.0""",Orthodox,21,13,0,
346,Galore,Bofando,,"5' 11""",170 lbs.,"72.0""",Switch,5,3,0,
347,Jay,Bogan,,--,145 lbs.,--,,6,6,0,
348,Roman,Bogatov,,"5' 8""",155 lbs.,"73.0""",Orthodox,10,1,0,
349,Derek,Bohi,Marshmallow,"6' 4""",260 lbs.,--,,8,5,0,
350,Jerry,Bohlander,,"5' 11""",199 lbs.,--,Orthodox,11,4,0,
351,Mandy,Bohm,Monster,"5' 7""",125 lbs.,"71.0""",Orthodox,7,2,0,
352,Kotetsu,Boku,,"5' 9""",154 lbs.,--,Orthodox,25,11,2,
353,Kyle,Bolt,,"6' 2""",185 lbs.,--,,8,4,0,
354,Denys,Bondar,Psycho,"5' 6""",125 lbs.,"69.0""",Orthodox,16,4,0,
355,Luc,Bondole,,"6' 2""",205 lbs.,--,,5,2,2,
356,Tony,Bonello,The Gun,"6' 2""",185 lbs.,--,,16,3,1,
357,Gabriel,Bonfim,Marretinha,"6' 1""",170 lbs.,"72.0""",Orthodox,13,0,0,
358,Ismael,Bonfim,Marreta,"5' 8""",155 lbs.,"71.0""",Orthodox,18,3,0,
359,Jesse,Bongfeldt,Water,"6' 0""",185 lbs.,--,Orthodox,16,5,1,
360,Marcos,Bonilla,Murder Marx,"5' 10""",145 lbs.,--,,4,4,0,
361,Stephan,Bonnar,The American Psycho,"6' 4""",205 lbs.,"79.0""",Orthodox,15,9,0,
362,Rogerio,Bontorin,,"5' 5""",125 lbs.,"67.0""",Orthodox,16,4,0,
363,Ray,Borg,The Tazmexican Devil,"5' 4""",135 lbs.,"63.0""",Orthodox,13,5,0,
364,Igor,Borisov,,"6' 0""",235 lbs.,--,Orthodox,1,1,0,
365,Calen,Born,,"5' 8""",170 lbs.,"72.0""",Switch,7,1,0,
366,Caio,Borralho,The Natural,"5' 10""",185 lbs.,"75.0""",Southpaw,12,1,0,
367,Zachary,Borrego,The Dragon,"6' 2""",185 lbs.,"78.0""",Switch,3,1,0,
368,Viacheslav,Borshchev,Slava Claus,"5' 11""",155 lbs.,"69.0""",Orthodox,6,3,0,
369,Tanner,Boser,The Bulldozer,"6' 2""",255 lbs.,"75.0""",Orthodox,20,9,1,
370,Steve,Bosse,The Boss,"5' 11""",205 lbs.,"72.0""",Orthodox,12,2,0,
371,Marcus,Bossett,The Grasshopper,"6' 1""",215 lbs.,--,Orthodox,1,3,0,
372,Chris,Bostick,,--,--,--,,6,3,0,
373,Poliana,Botelho,,"5' 8""",125 lbs.,"67.0""",Orthodox,8,5,0,
374,Francois,Botha,White Buffalo,"6' 2""",260 lbs.,--,Orthodox,0,1,0,
375,Gregory,Bouchelaghem,,"6' 2""",183 lbs.,--,Switch,5,4,0,
376,Roy,Boughton,Black Dynamite,"6' 0""",205 lbs.,--,,14,8,0,
377,Rich,Bouphanouvong,,"5' 7""",170 lbs.,--,,1,4,0,
378,Mike,Bourke,The Rhino,"6' 0""",275 lbs.,--,Orthodox,10,16,1,
379,Jess,Bouscal,,--,155 lbs.,--,,3,2,0,
380,Tai,Bowden,,"5' 11""",230 lbs.,--,,1,1,0,
381,Melton,Bowen,The Punisher,"6' 0""",225 lbs.,--,Orthodox,0,1,0,
382,Kyron,Bowen,Bullseye,"6' 3""",185 lbs.,"73.0""",Orthodox,9,5,0,
383,Brian,Bowles,,"5' 7""",135 lbs.,"70.0""",Orthodox,10,3,0,
384,Roger,Bowling,Relentless,"5' 9""",155 lbs.,"68.0""",Orthodox,12,6,0,
385,Blake,Bowman,,"6' 2""",170 lbs.,--,,2,6,0,
386,Ashe,Bowman,The Archer,"5' 9""",155 lbs.,--,,9,11,0,
387,Anvar,Boynazarov,The Uzbek,"5' 9""",145 lbs.,--,Orthodox,3,1,0,
388,Colley,Bradford,,"5' 7""",145 lbs.,--,,0,1,0,
389,Kyle,Bradley,,"5' 9""",155 lbs.,"71.0""",Orthodox,19,12,0,
390,Paul,Bradley,The Gentleman,"5' 9""",170 lbs.,--,Orthodox,23,8,0,
391,Sean,Brady,,"5' 10""",170 lbs.,"72.0""",Orthodox,15,0,0,
392,Ebenezer Fontes,Braga,Pitbull,"6' 0""",199 lbs.,--,Orthodox,13,7,2,
393,Ramiz,Brahimaj,,"5' 10""",170 lbs.,"72.0""",Orthodox,10,4,0,
394,Joe,Brammer,The South Side Strangler,"5' 8""",155 lbs.,--,Orthodox,7,3,1,
395,David,Branch,,"6' 1""",185 lbs.,"78.0""",Orthodox,22,6,0,
396,Diego,Brandao,DB,"5' 7""",145 lbs.,"64.0""",Orthodox,22,11,0,
397,Bruna,Brasil,,"5' 6""",115 lbs.,"65.0""",Orthodox,8,2,1,
398,Michael,Bravo,,--,155 lbs.,--,,7,4,0,
399,Martin,Bravo,El Toro,"5' 8""",145 lbs.,"71.0""",Southpaw,11,3,0,
400,Mike,Breeden,Money,"5' 10""",155 lbs.,"70.0""",Orthodox,10,5,0,
401,Tom,Breese,,"6' 3""",185 lbs.,"73.0""",Southpaw,12,3,0,
402,Chris,Brennan,The Westside Strangler,"5' 8""",170 lbs.,--,Orthodox,21,13,1,
403,Charlie,Brenneman,The Spaniard,"5' 10""",155 lbs.,"70.0""",Orthodox,19,8,0,
404,Robert,Breslin,The Bullet,"5' 11""",155 lbs.,--,,3,9,0,
405,Mack,Brewer,,--,205 lbs.,--,,0,1,0,
406,Marcos,Brigagao,Ironside,"6' 3""",205 lbs.,"76.0""",Southpaw,11,1,0,
407,Jason,Brilz,Hitman,"5' 11""",205 lbs.,"71.0""",Orthodox,22,6,1,
408,Marcus,Brimage,The Bama Beast,"5' 4""",135 lbs.,"71.0""",Southpaw,7,7,0,
409,Aaron,Brink,,"6' 3""",205 lbs.,--,Orthodox,26,26,0,
410,Henry,Briones,Bure,"5' 8""",135 lbs.,"69.0""",Orthodox,16,8,1,
411,Marcelo,Brito,Jungle Boy,"6' 1""",170 lbs.,--,Orthodox,13,8,0,
412,Joanderson,Brito,Tubarao,"5' 8""",145 lbs.,"72.0""",Orthodox,14,3,1,
413,Antwain,Britt,The Juggernaut,"6' 1""",205 lbs.,"77.0""",,11,6,0,
414,Drew,Brokenshire,,--,--,--,,16,6,0,
415,Mike,Bronzoulis,The Greek,"6' 0""",155 lbs.,--,,18,9,1,
416,Jonathan,Brookins,,"6' 0""",145 lbs.,"74.0""",Southpaw,16,10,0,
417,Will,Brooks,Ill,"5' 10""",155 lbs.,"72.0""",Orthodox,18,4,0,
418,Jarred,Brooks,The Monkey God,"5' 3""",125 lbs.,"62.0""",Switch,13,2,0,
419,Rob,Broughton,The Bear,"6' 2""",265 lbs.,"74.0""",Orthodox,16,7,1,
420,Lee,Brousseau,Manimal,"6' 1""",205 lbs.,--,,5,3,0,
421,Matt,Brown,The Immortal,"6' 0""",170 lbs.,"75.0""",Orthodox,25,19,0,
422,Mike,Brown,,"5' 6""",145 lbs.,"70.0""",Orthodox,26,9,0,
423,Dominic,Brown,,"5' 11""",190 lbs.,--,,16,23,0,
424,Todd,Brown,Bulldog,"5' 11""",205 lbs.,--,Orthodox,16,4,0,
425,Terrell,Brown,,--,185 lbs.,--,,3,1,0,
426,Chris,Brown,,--,170 lbs.,--,,10,1,0,
427,Frederick,Brown,,"6' 0""",235 lbs.,--,,3,2,0,
428,Randy,Brown,Rudeboy,"6' 3""",170 lbs.,"78.0""",Orthodox,16,4,0,
429,Damien,Brown,Beatdown,"5' 10""",155 lbs.,"68.0""",Orthodox,17,12,0,
430,TJ,Brown,Downtown,"5' 9""",145 lbs.,"72.0""",Switch,16,9,0,
431,Humberto,Brown Morrison,,"5' 10""",145 lbs.,--,,4,6,0,
432,Travis,Browne,Hapa,"6' 6""",255 lbs.,"79.0""",Orthodox,18,7,1,
433,Junie,Browning,,"5' 9""",155 lbs.,--,Orthodox,5,6,0,
434,Jules,Bruchez,,"6' 0""",205 lbs.,--,Southpaw,1,2,0,
435,Justin,Bruckmann,Loaf,"5' 9""",170 lbs.,--,Orthodox,7,3,0,
436,Cody,Brundage,,"6' 0""",185 lbs.,"72.0""",Orthodox,8,2,0,
437,Steve,Bruno,Hollywood,"5' 10""",170 lbs.,--,Orthodox,15,6,0,
438,Fernando,Bruno,Acougueiro,"5' 6""",145 lbs.,--,,15,4,0,
439,Derek,Brunson,,"6' 1""",185 lbs.,"77.0""",Southpaw,23,8,0,
440,Josh,Bryant,The Beast,"5' 10""",185 lbs.,--,Orthodox,15,4,0,
441,Dennis,Bryant,The Beard,"6' 0""",205 lbs.,--,Orthodox,5,2,0,
442,Lukasz,Brzeski,The Bull,"6' 4""",236 lbs.,"78.0""",Orthodox,8,2,1,
443,Justin,Buchholz,,"6' 0""",155 lbs.,"73.0""",Orthodox,15,10,0,
444,Zak,Bucia,,"5' 10""",170 lbs.,--,,17,8,0,
445,Courtney,Buck,,"5' 10""",135 lbs.,--,Orthodox,12,11,0,
446,Joaquin,Buckley,New Mansa,"5' 10""",185 lbs.,"76.0""",Southpaw,15,5,0,
447,Martin,Buday,Badys,"6' 4""",265 lbs.,"77.0""",Orthodox,11,1,0,
448,Julia,Budd,,"5' 7""",145 lbs.,"67.0""",,10,2,0,
449,Mike,Budnik,,"5' 9""",145 lbs.,"68.0""",Orthodox,13,4,0,
450,Francisco,Bueno,,"5' 9""",225 lbs.,--,Orthodox,5,2,0,
451,Mayra,Bueno Silva,Sheetara,"5' 6""",135 lbs.,"66.0""",Orthodox,9,2,1,
452,Paul,Buentello,The Headhunter,"6' 2""",245 lbs.,"77.0""",Orthodox,35,17,0,
453,Modestas,Bukauskas,The Baltic Gladiator,"6' 3""",205 lbs.,"78.0""",Switch,11,5,0,
454,Lee Kwan,Bum,,"6' 2""",286 lbs.,--,Orthodox,0,1,0,
455,Josh,Bumgarner,,"6' 1""",170 lbs.,--,,6,4,0,
456,Shawn,Bunch,Bunch the Great,"5' 5""",135 lbs.,--,,7,3,0,
457,Shane,Burgos,Hurricane,"5' 11""",145 lbs.,"75.0""",Orthodox,15,3,0,
458,Joshua,Burkman,The People's Warrior,"5' 10""",170 lbs.,"72.0""",Orthodox,28,16,0,
459,Justin,Burlinson,,"6' 1""",170 lbs.,"74.0""",Switch,6,1,0,
460,Mads,Burnell,,"5' 8""",145 lbs.,"69.0""",Orthodox,9,3,0,
461,Mikey,Burnett,The Eastside Assassin,"5' 6""",170 lbs.,--,Orthodox,5,2,0,
462,Kevin,Burns,The Fire,"5' 10""",170 lbs.,"74.0""",Orthodox,12,7,0,
463,Gilbert,Burns,Durinho,"5' 10""",170 lbs.,"71.0""",Orthodox,20,5,0,
464,Josh,Burns,The Hammer,"6' 1""",244 lbs.,--,,8,10,0,
465,Herbert,Burns,The Blaze,"5' 9""",145 lbs.,"73.0""",Orthodox,11,4,0,
466,Derrick,Burnsed,,--,155 lbs.,--,,1,0,3,
467,Nah-Shon,Burrell,The Rock n Rolla,"5' 11""",170 lbs.,--,Orthodox,15,7,0,
468,Martin,Buschkamp,,"5' 9""",145 lbs.,--,Orthodox,9,0,0,
469,George,Bush,,"6' 1""",205 lbs.,--,,5,2,0,
470,Bubba,Bush,The Fightin' Texas Aggie,"6' 0""",185 lbs.,--,Orthodox,8,3,0,
471,Dakota,Bush,,"5' 10""",155 lbs.,"73.0""",Orthodox,8,4,0,
472,Murilo,Bustamante,,"6' 2""",183 lbs.,--,Orthodox,15,8,1,
473,Nick,Bustamante,,"5' 9""",170 lbs.,--,,5,3,0,
474,Eduardo,Bustillos,,"5' 8""",135 lbs.,--,,5,3,0,
475,Jason,Butcher,,"6' 3""",185 lbs.,--,,10,2,0,
476,Todd,Butler,,"6' 1""",200 lbs.,--,Southpaw,1,4,0,
477,Goldman,Butler,,--,--,--,,1,4,0,
478,Ian,Butler,,"5' 8""",155 lbs.,--,,3,3,0,
479,Raphael,Butler,The Silencer,"6' 3""",261 lbs.,--,,9,2,1,
480,JP,Buys,Young Savage,"5' 5""",125 lbs.,"67.0""",Orthodox,9,5,0,
481,Dennis,Buzukja,The Great,"5' 9""",145 lbs.,"70.0""",Switch,8,2,0,
482,Charles,Byrd,Kid Dynamite,"5' 10""",185 lbs.,"73.0""",Orthodox,10,7,0,
483,Steve,Byrnes,The Sergeant,"6' 0""",170 lbs.,--,Orthodox,6,1,0,
484,Michael,Byrnes,,"5' 11""",155 lbs.,--,,5,3,0,
485,,,,,,,,,,,
486,Yan,Cabral,,"5' 11""",155 lbs.,"73.0""",Orthodox,13,3,0,
487,Alvin,Cacdac,,"5' 6""",125 lbs.,--,Orthodox,18,13,0,
488,Alex,Caceres,Bruce Leeroy,"5' 10""",145 lbs.,"73.0""",Southpaw,19,13,0,
489,Vince,Cachero,The Anomaly,"5' 6""",145 lbs.,"68.0""",Orthodox,7,4,0,
490,Priscila,Cachoeira,Zombie Girl,"5' 7""",125 lbs.,"65.0""",Orthodox,12,4,0,
491,Travis,Calanoc,The Dark Knight,"5' 8""",145 lbs.,--,Orthodox,5,1,0,
492,Ricky,Calatayud,,"5' 9""",125 lbs.,--,,16,2,0,
493,Darrion,Caldwell,The Wolf,"5' 10""",135 lbs.,--,,10,1,0,
494,Taylor,Callens,,"5' 10""",155 lbs.,--,,6,0,0,
495,Cynthia,Calvillo,,"5' 4""",125 lbs.,"64.0""",Orthodox,9,5,1,
496,Joe,Camacho,,"5' 9""",155 lbs.,--,Orthodox,13,19,3,
497,Frank,Camacho,The Crank,"5' 10""",155 lbs.,"73.0""",Orthodox,22,10,0,
498,Fabricio,Camoes,Morango,"5' 10""",155 lbs.,"71.0""",Orthodox,14,9,1,
499,Chris,Camozzi,,"6' 2""",185 lbs.,"75.0""",Orthodox,24,13,0,
500,Brian,Camozzi,Mantis,"6' 2""",170 lbs.,"78.0""",Orthodox,7,5,0,
501,Ricky,Camp,2 Slick,"5' 7""",135 lbs.,--,,11,4,0,
502,Mike,Campbell,The Beast,"5' 9""",155 lbs.,--,Southpaw,13,4,0,
503,Thomas,Campbell,,--,--,--,,3,3,0,
504,Shane,Campbell,Shaolin,"6' 0""",155 lbs.,"71.0""",Orthodox,14,6,0,
505,Charlie,Campbell,The Cannibal,"6' 0""",155 lbs.,--,Orthodox,6,2,0,
506,John,Campetella,,"5' 9""",235 lbs.,--,Orthodox,0,1,0,
507,Wagner,Campos,Galeto,"5' 6""",145 lbs.,--,Southpaw,12,10,0,
508,Derek,Campos,The Stallion,"5' 9""",155 lbs.,--,,19,6,0,
509,Will,Campuzano,,"5' 9""",125 lbs.,"70.0""",Orthodox,14,6,0,
510,Aleksa,Camur,,"6' 1""",205 lbs.,"74.0""",Orthodox,6,2,0,
511,Chico,Camus,The King,"5' 6""",125 lbs.,"66.0""",Orthodox,17,7,0,
512,Asbel,Cancio,,"5' 10""",225 lbs.,--,,0,1,0,
513,Carlos,Candelario,The Cannon,"5' 8""",125 lbs.,"68.0""",Southpaw,8,2,0,
514,Ronaldo,Candido,Pacman,"5' 6""",125 lbs.,--,Southpaw,6,0,0,
515,Luiz,Cane,Banha,"6' 2""",185 lbs.,"77.0""",Southpaw,17,7,0,
516,Guido,Cannetti,Ninja,"5' 6""",135 lbs.,"68.0""",Southpaw,10,7,0,
517,Jared,Cannonier,The Killa Gorilla,"5' 11""",185 lbs.,"77.0""",Switch,15,6,0,
518,Jose,Canseco,,"6' 4""",240 lbs.,--,Orthodox,0,1,0,
519,Cody,Canterbury,,"5' 8""",155 lbs.,--,,1,10,0,
520,Bo,Cantrell,Redrum,"6' 2""",235 lbs.,--,Orthodox,10,10,0,
521,Steve,Cantwell,The Robot,"6' 2""",185 lbs.,"75.0""",Orthodox,7,6,0,
522,Paul,Capaldo,,"5' 7""",135 lbs.,--,,6,0,0,
523,Phil,Caracappa,The Hitman,"5' 8""",135 lbs.,"70.0""",Orthodox,6,1,0,
524,Frank,Caracci,,--,--,--,,2,3,0,
525,Gina,Carano,Conviction,"5' 8""",145 lbs.,--,Orthodox,7,1,0,
526,Dos,Caras Jr.,,"6' 4""",225 lbs.,--,Orthodox,9,5,0,
527,Bryan,Caraway,Kid Lightning,"5' 8""",135 lbs.,"68.0""",Orthodox,21,9,0,
528,Remo,Cardarelli,,--,135 lbs.,--,,7,5,0,
529,Phil,Cardella,,"5' 11""",155 lbs.,--,,8,5,0,
530,Edgar,Cardenas,Kitty Katt,--,145 lbs.,--,,4,1,0,
531,Chris,Cariaso,Kamikaze,"5' 3""",125 lbs.,"64.0""",Southpaw,17,8,0,
532,Ronald,Carillo,,--,125 lbs.,--,,4,2,0,
533,Rafael,Carino,,"6' 8""",245 lbs.,--,Orthodox,2,1,1,
534,Don,Carlo-Clauss,,--,170 lbs.,--,,10,7,0,
535,Antonio,Carlos Junior,Cara de Sapato,"6' 2""",185 lbs.,"79.0""",Orthodox,11,5,0,
536,Spike,Carlyle,Alpha Ginger,"5' 8""",145 lbs.,"71.0""",Switch,9,3,0,
537,Francis,Carmont,Limitless,"6' 3""",205 lbs.,"78.0""",Orthodox,25,12,0,
538,Liz,Carmouche,Girlrilla,"5' 6""",125 lbs.,"66.0""",Orthodox,13,7,0,
539,Roan,Carneiro,Jucao,"5' 11""",170 lbs.,"76.0""",Orthodox,21,11,0,
540,Ariane,Carnelossi,Sorriso,"5' 2""",115 lbs.,"61.0""",Orthodox,14,3,0,
541,Luana,Carolina,Dread,"5' 6""",125 lbs.,"69.0""",Orthodox,8,3,0,
542,Tim,Caron,The Bear,"6' 1""",185 lbs.,--,Orthodox,7,1,0,
543,Clayton,Carpenter,,"5' 6""",125 lbs.,"68.0""",Orthodox,6,0,0,
544,Gabriel,Carrasco,,"5' 6""",135 lbs.,--,,7,0,0,
545,Cody,Carrillo,,"5' 10""",155 lbs.,--,,11,16,0,
546,Cain,Carrizosa,The Insane,"5' 8""",155 lbs.,--,Orthodox,10,3,0,
547,Roger,Carroll,The Leprechaun,"5' 10""",170 lbs.,--,,16,14,0,
548,Jonny,Carson,,"5' 10""",155 lbs.,--,,11,7,0,
549,Scott,Carson,,"6' 2""",215 lbs.,--,,4,2,0,
550,Shonie,Carter,Mr. International,"5' 10""",170 lbs.,--,Southpaw,51,31,7,
551,Jack,Cartwright,,"5' 9""",135 lbs.,"68.0""",Orthodox,10,1,0,
552,Bruno,Carvalho,,"5' 8""",154 lbs.,--,,10,5,0,
553,Antonio,Carvalho,Pato,"5' 9""",145 lbs.,"70.0""",Orthodox,15,6,0,
554,Rafael,Carvalho,,"6' 3""",185 lbs.,--,,14,1,0,
555,Shane,Carwin,The Engineer,"6' 2""",265 lbs.,"80.0""",Orthodox,12,2,0,
556,Johnny,Case,Hollywood,"5' 10""",155 lbs.,"72.0""",Orthodox,22,6,0,
557,Kevin,Casey,King,"5' 11""",185 lbs.,"77.0""",Southpaw,9,5,2,
558,Cortney,Casey,Cast Iron,"5' 7""",125 lbs.,"67.0""",Orthodox,10,10,0,
559,Brandon,Cash,Money,"6' 5""",255 lbs.,--,Orthodox,10,4,0,
560,Bendy,Casimir,,"5' 5""",145 lbs.,--,Southpaw,20,14,2,
561,Dwayne,Cason,,"5' 10""",212 lbs.,--,Orthodox,1,1,0,
562,Joe,Cason,,"6' 3""",205 lbs.,--,,9,1,0,
563,John,Castaneda,Sexy Mexi,"5' 6""",135 lbs.,"71.0""",Switch,19,6,0,
564,Eric,Castile,,"5' 8""",145 lbs.,--,,3,2,0,
565,Gil,Castillo,,"5' 9""",170 lbs.,--,Southpaw,8,5,0,
566,Danny,Castillo,Last Call,"5' 9""",155 lbs.,"71.0""",Orthodox,17,10,0,
567,Raul,Castillo,,"5' 11""",185 lbs.,--,Orthodox,7,1,0,
568,Jenna,Castillo,,"5' 2""",125 lbs.,--,,1,0,0,
569,Tim,Catalfo,Obake,"5' 11""",235 lbs.,--,Orthodox,4,2,0,
570,Nick,Catone,The Jersey Devil,"6' 0""",185 lbs.,"72.0""",Southpaw,10,4,0,
571,Luke,Caudillo,Lil' Hulk,"5' 7""",155 lbs.,--,Orthodox,17,17,0,
572,Gesias,Cavalcante,JZ,"5' 8""",155 lbs.,"71.0""",Orthodox,21,10,1,
573,Rafael,Cavalcante,Feijao,"6' 1""",205 lbs.,"74.0""",Orthodox,12,7,0,
574,Magnus,Cedenblad,Jycken,"6' 5""",185 lbs.,"79.0""",Orthodox,14,5,0,
575,Yosdenis,Cedeno,Pink Panther,"5' 8""",155 lbs.,"69.0""",Orthodox,10,6,1,
576,Henry,Cejudo,The Messenger,"5' 4""",135 lbs.,"64.0""",Orthodox,16,2,0,
577,Adam,Cella,El Naturel,"6' 2""",170 lbs.,--,,6,8,0,
578,Vinicius,Cenci,Chambinho,"6' 1""",155 lbs.,"74.0""",Orthodox,7,2,0,
579,Donald,Cerrone,Cowboy,"6' 1""",155 lbs.,"73.0""",Orthodox,36,17,0,
580,Jared,Chaffee,,"5' 10""",155 lbs.,--,,5,2,0,
581,Luan,Chagas,Tarzan,"6' 0""",170 lbs.,"75.0""",Orthodox,15,3,1,
582,Edgar,Chairez,Pitbull,"5' 7""",125 lbs.,--,Orthodox,8,4,0,
583,Ansar,Chalangov,,"5' 9""",170 lbs.,--,Orthodox,14,5,0,
584,Alex,Chambers,Astro Girl,"5' 3""",115 lbs.,"63.0""",Southpaw,5,5,0,
585,Michael,Chandler,Iron,"5' 8""",155 lbs.,"71.0""",Orthodox,23,7,0,
586,Chelsea,Chandler,,"5' 8""",145 lbs.,"68.0""",Southpaw,5,1,0,
587,Donnie,Chappell,,"5' 11""",178 lbs.,--,Southpaw,0,1,0,
588,Joe,Charles,The Ghetto Man,"6' 1""",260 lbs.,--,Southpaw,6,13,0,
589,Dan,Charles,The Man,"6' 2""",228 lbs.,--,,10,6,1,
590,Ernest,Chavez,EJ,"5' 8""",145 lbs.,"70.0""",Orthodox,10,2,0,
591,Emilio,Chavez,,"5' 9""",145 lbs.,--,,12,9,0,
592,Danny,Chavez,The Colombian Warrior,"5' 8""",145 lbs.,"67.0""",Orthodox,11,5,1,
593,Gabriel,Checco,Zangief,"6' 1""",185 lbs.,--,Switch,10,2,0,
594,Albert,Cheng,,"5' 11""",170 lbs.,--,Orthodox,7,4,0,
595,Fabio,Cherant,Water Buffalo,"6' 1""",205 lbs.,"74.0""",Southpaw,7,4,0,
596,Ion,Cherdivara,,--,205 lbs.,--,,1,1,0,
597,Mark,Cherico,The Pride of Bloomfield,"5' 7""",145 lbs.,"69.0""",Orthodox,11,1,0,
598,Macy,Chiasson,,"5' 11""",135 lbs.,"72.0""",Orthodox,9,3,0,
599,Michael,Chiesa,Maverick,"6' 1""",170 lbs.,"75.0""",Southpaw,18,6,0,
600,Giga,Chikadze,Ninja,"6' 0""",145 lbs.,"74.0""",Orthodox,14,3,0,
601,Khamzat,Chimaev,Borz,"6' 2""",170 lbs.,"75.0""",Orthodox,12,0,0,
602,Sako,Chivitchian,,"5' 11""",155 lbs.,--,,8,1,0,
603,Mu Bae,Choi,,"6' 2""",230 lbs.,--,Orthodox,12,6,0,
604,Hong Man,Choi,Techno Goliath,"7' 2""",330 lbs.,--,Orthodox,4,5,0,
605,Dooho,Choi,The Korean Superboy,"5' 10""",145 lbs.,"70.0""",Orthodox,14,4,0,
606,SeungWoo,Choi,Sting,"6' 0""",145 lbs.,"74.0""",Orthodox,10,5,0,
607,SeungGuk,Choi,,"5' 6""",125 lbs.,"64.0""",Orthodox,5,1,0,
608,John,Cholish,,"5' 11""",155 lbs.,"74.0""",Orthodox,8,3,0,
609,Ryo,Chonan,Piranah,"5' 9""",170 lbs.,"70.0""",Orthodox,22,13,0,
610,Katlyn,Chookagian,Blonde Fighter,"5' 9""",125 lbs.,"68.0""",Orthodox,18,4,0,
611,Will,Chope,The Kill,"6' 4""",145 lbs.,--,Switch,34,13,0,
612,Joachim,Christensen,,"6' 3""",205 lbs.,"76.0""",Orthodox,14,6,0,
613,Dan,Christison,The Sandman,"6' 8""",265 lbs.,--,Orthodox,20,7,0,
614,Anthony,Christodoulou,,"5' 9""",155 lbs.,--,Orthodox,12,7,0,
615,Murad,Chunkaiev,,"5' 11""",185 lbs.,--,Orthodox,8,4,0,
616,Cameron,Church,,"5' 11""",155 lbs.,"72.0""",Orthodox,4,1,0,
